volume,cpu_time_s,loihi_time_s,cpu_energy_mj,loihi_energy_mj,speedup
100,281.20998035301454,10.09,18278648.722945943,0.18702,27.870166536473196
500,1406.0499017650727,50.45,91393243.61472973,0.9350999999999999,27.870166536473192
1000,2812.0998035301454,100.9,182786487.22945946,1.8701999999999999,27.870166536473192
5000,14060.499017650727,504.5,913932436.1472973,9.350999999999999,27.870166536473196
10000,28120.998035301454,1009.0,1827864872.2945945,18.701999999999998,27.870166536473196
50000,140604.99017650727,5045.0,9139324361.472973,93.50999999999999,27.870166536473196
